timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
88,4004,"Hwy 79 FS La Paz",,33.477979,-117.135508,,,,,,0
90,2716,"Van Buren + Washington",,33.882453,-117.366878,,,,,,0
91,2206,"Alessandro NS Via Vista",,33.931419,-117.347684,,,,,,0
92,1659,"Chicago + Linden",,33.979905,-117.348366,,,,,,0
94,3283,"Mission + Pedley",,34.011914,-117.474885,,,,,,0
95,2008,"Ironwood + Heacock",,33.946726,-117.244485,,,,,,0
98,1013,"Sixth FS El Camino",,33.873738,-117.538314,,,,,,0
99,1622,"Wells FS Noble",,33.933210,-117.467114,,,,,,0
100,3112,"68th + Moonriver",,33.964425,-117.553780,,,,,,0
101,3116,"Railroad Canyon FS Canyon Hills",,33.668929,-117.263301,,,,,,0
102,2167,"Iris FS Oliver",,33.895547,-117.183487,,,,,,0
103,2400,"Trautwein FS Van Buren",,33.891705,-117.324693,,,,,,0
104,1257,"Pottery NS Kellogg",,33.675376,-117.333021,,,,,,0
105,1264,"Lakeshore FS Marian",,33.661955,-117.312146,,,,,,0
106,2758,"Orange Terrace FS Hollyleaf",,33.894878,-117.307912,,,,,,0
107,2946,"State + Stetson",,33.728944,-116.971668,,,,,,0
108,1971,"Frederick + Eucalyptus",,33.931251,-117.261237,,,,,,0
109,1933,"Perris + Dracaea",,33.927589,-117.226411,,,,,,0
110,2839,"Rubidoux + 26th",,34.012664,-117.393263,,,,,,0
111,1163,"Magnolia + Van Buren",,33.920290,-117.446954,,,,,,0
112,1816,"Arlington + Crest",,33.946446,-117.471831,,,,,,0
113,3170,"Lasselle FS Via Xavier",,33.877794,-117.209926,,,,,,0
114,3082,"Oakland + Santa Fe",,33.754787,-116.963353,,,,,,0
115,2873,"Perris FS Eighth",,33.778090,-117.226136,,,,,,0
117,2172,"Alessandro FS Century",,33.935912,-117.350968,,,,,,0
118,2135,"Webster + Morgan @ Continuation School",,33.838031,-117.243742,,,,,,0
119,1967,"Eucalyptus + Kitching",,33.931753,-117.217278,,,,,,0
120,1442,"14th + Park",,33.971570,-117.368275,,,,,,0
121,1351,"Grand FS Buena Vista",,33.646530,-117.356966,,,,,,0
124,2899,"State + Stetson",,33.730703,-116.971473,,,,,,0
126,1261,"Lakeshore 420 Senior Center",,33.662985,-117.326015,,,,,,0
127,2518,"Nutmeg FS Via De Gema Linda",,33.586827,-117.215832,,,,,,0
128,3434,"JFK FS Lasselle",,33.902920,-117.211633,,,,,,0
129,3362,"San Jacinto  + Seventh Street",,33.780565,-116.958771,,,,,,0
130,3411,"Southwest Justice Center",,33.582537,-117.120649,,,,,,0
131,3276,"Mission + Valley Way",,34.011498,-117.434984,,,,,,0
132,1016,"Magnolia + Grant",,33.878187,-117.520342,,,,,,0
133,2468,"Whitewood FS Blackthorne",,33.572008,-117.169206,,,,,,0
134,1706,"Iowa + Marlborough",,33.996580,-117.339981,,,,,,0
135,1052,"Blaine + Mt Vernon",,33.982892,-117.313941,,,,,,0
136,3281,"Mission + Vernon",,34.011890,-117.466168,,,,,,0
138,2514,"Murr Hot Springs at 41200 Walmart",,33.552179,-117.194204,,,,,,0
