trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
534697020,19,1,"North to Moreno Valley Mall",,1,84708202,shp-19-02,0,0,01913
534698020,19,1,"North to Moreno Valley Mall",,1,84708402,shp-19-02,0,0,02209
534699020,19,1,"North to Moreno Valley Mall",,1,84695902,shp-19-02,0,0,01906
534700020,19,1,"North to Moreno Valley Mall",,1,84708702,shp-19-02,0,0,01916
534701020,19,1,"North to Moreno Valley Mall",,1,84708102,shp-19-02,0,0,01923
534702020,19,1,"North to Moreno Valley Mall",,1,84708902,shp-19-02,0,0,01917
534703020,19,1,"North to Moreno Valley Mall",,1,84707802,shp-19-02,0,0,01915
534704020,19,1,"North to Moreno Valley Mall",,1,84707902,shp-19-02,0,0,01922
534705020,19,1,"North to Moreno Valley Mall",,1,84708302,shp-19-02,0,0,01920
534706020,19,1,"North to Moreno Valley Mall",,1,84695402,shp-19-02,0,0,02212
534707020,19,1,"North to Moreno Valley Mall",,1,84705002,shp-19-02,0,0,00116
534708020,19,1,"North to Moreno Valley Mall",,1,84708702,shp-19-02,0,0,01916
534709020,19,1,"North to Moreno Valley Mall",,1,84708102,shp-19-02,0,0,01923
534734020,19,1,"North to Moreno Valley Mall",,1,84708802,shp-19-02,0,0,01918
534742020,19,1,"North to Moreno Valley Mall",,1,84692102,shp-19-02,0,0,01901
534744020,19,1,"North to Moreno Valley Mall",,1,84707902,shp-19-02,0,0,01922
534745020,19,1,"North to Moreno Valley Mall",,1,84709702,shp-19-02,0,0,01926
534750020,19,1,"North to Moreno Valley Mall",,1,84692802,shp-19-02,0,0,01903
534751020,19,1,"North to Moreno Valley Mall",,1,84697902,shp-19-02,0,0,01911
534752020,19,1,"North to Moreno Valley Mall",,1,84697402,shp-19-02,0,0,01909
534753020,19,1,"North to Moreno Valley Mall",,1,84697802,shp-19-02,0,0,01912
534754020,19,1,"North to Moreno Valley Mall",,1,84697702,shp-19-02,0,0,01910
534755020,19,1,"North to Moreno Valley Mall",,1,84698202,shp-19-02,0,0,01914
534756020,19,1,"North to Moreno Valley Mall",,1,84699002,shp-19-02,0,0,00112
534757020,19,1,"North to Moreno Valley Mall",,1,84708502,shp-19-02,0,0,01919
534758020,19,1,"North to Moreno Valley Mall",,1,84694202,shp-19-02,0,0,02002
534759020,19,1,"North to Moreno Valley Mall",,1,84709202,shp-19-02,0,0,02207
534760020,19,1,"North to Moreno Valley Mall",,1,84708802,shp-19-02,0,0,01918
534761020,19,1,"North to Moreno Valley Mall",,1,84709302,shp-19-02,0,0,01921
534762020,19,1,"North to Moreno Valley Mall",,1,84709002,shp-19-02,0,0,01924
534763020,19,1,"North to Moreno Valley Mall",,1,84698202,shp-19-02,0,0,01914
534781020,19,1,"North to Moreno Valley Mall",,1,84694002,shp-19-02,0,0,02202
534401020,20,1,"West to Magnolia & Elizabeth",,0,84694402,shp-20-57,0,0,02003
534402020,20,1,"West to Magnolia & Elizabeth",,0,84694202,shp-20-56,0,0,02002
534403020,20,1,"West to Magnolia & Elizabeth",,0,84692502,shp-20-56,0,0,02001
534404020,20,1,"West to Magnolia & Elizabeth",,0,84694402,shp-20-56,0,0,02003
534405020,20,1,"West to Magnolia & Elizabeth",,0,84694202,shp-20-56,0,0,02002
534406020,20,1,"West to Magnolia & Elizabeth",,0,84692502,shp-20-56,0,0,02001
534407020,20,1,"West to Magnolia & Elizabeth",,0,84694402,shp-20-56,0,0,02003
534408020,20,1,"West to Magnolia & Elizabeth",,0,84704102,shp-20-56,0,0,02004
534409020,20,1,"West to Magnolia & Elizabeth",,0,84709402,shp-20-56,0,0,02005
534410020,20,1,"West to Magnolia & Elizabeth",,0,84696102,shp-20-56,0,0,02006
534411020,20,1,"West to Magnolia & Elizabeth",,0,84704102,shp-20-57,0,0,02004
534412020,20,1,"West to Magnolia & Elizabeth",,0,84709402,shp-20-56,0,0,02005
534413020,20,1,"West to Magnolia & Elizabeth",,0,84696102,shp-20-56,0,0,02006
534387020,20,1,"East to Moreno Valley College",,1,84694202,shp-20-03,0,0,02002
534388020,20,1,"East to Moreno Valley College",,1,84692502,shp-20-03,0,0,02001
534389020,20,1,"East to Moreno Valley College",,1,84694402,shp-20-04,0,0,02003
534390020,20,1,"East to Moreno Valley College",,1,84694202,shp-20-04,0,0,02002
534391020,20,1,"East to Moreno Valley College",,1,84692502,shp-20-04,0,0,02001
534392020,20,1,"East to Moreno Valley College",,1,84694402,shp-20-04,0,0,02003
534393020,20,1,"East to Moreno Valley College",,1,84704102,shp-20-04,0,0,02004
534394020,20,1,"East to Moreno Valley College",,1,84709402,shp-20-04,0,0,02005
534395020,20,1,"East to Moreno Valley College",,1,84696102,shp-20-04,0,0,02006
534396020,20,1,"East to Moreno Valley College",,1,84704102,shp-20-04,0,0,02004
534397020,20,1,"East to Moreno Valley College",,1,84709402,shp-20-04,0,0,02005
534398020,20,1,"East to Moreno Valley College",,1,84696102,shp-20-03,0,0,02006
534399020,20,1,"East to Moreno Valley College",,1,84704102,shp-20-04,0,0,02004
534400020,20,1,"East to Moreno Valley College",,1,84709402,shp-20-04,0,0,02005
534289020,200,1,"West to Anaheim Express",,0,84692902,shp-200-54,2,2,20001
534290020,200,1,"West to Anaheim Express",,0,84695702,shp-200-54,2,2,20002
534291020,200,1,"West to Anaheim Express",,0,84696902,shp-200-54,2,2,20003
534292020,200,1,"West to Anaheim Express",,0,84711202,shp-200-54,2,2,20004
534293020,200,1,"West to Anaheim Express",,0,84698902,shp-200-54,2,2,20005
534294020,200,1,"West to Anaheim Express",,0,84702402,shp-200-54,2,2,20006
534295020,200,1,"West to Anaheim Express",,0,84702202,shp-200-54,2,2,20007
534296020,200,1,"West to Anaheim Express",,0,84705202,shp-200-54,2,2,20008
534297020,200,1,"West to Anaheim Express",,0,84699502,shp-200-54,2,2,20009
534280020,200,1,"East to San Bernardino Express",,1,84692902,shp-200-04,2,2,20001
534281020,200,1,"East to San Bernardino Express",,1,84695702,shp-200-04,2,2,20002
