From_ID,To_ID,NearRank,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
29,1,1,1500000US060250123011,6,25,12301,1,1,BG,907.94500732,,,29,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,21.40029658
29,2,2,1500000US060250123011,6,25,12301,1,1,BG,907.94500732,,,29,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.01160592
30,2,1,1500000US060250123012,6,25,12301,2,2,BG,7.9829998,,,30,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,25.33791455
30,1,2,1500000US060250123012,6,25,12301,2,2,BG,7.9829998,,,30,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.9249658
31,1,1,1500000US060250123022,6,25,12302,2,2,BG,10.11800003,,,31,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,37.31941325
31,2,2,1500000US060250123022,6,25,12302,2,2,BG,10.11800003,,,31,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,47.01245186
32,1,1,1500000US060250123023,6,25,12302,3,3,BG,52.66999817,,,32,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,26.32923648
32,2,2,1500000US060250123023,6,25,12302,3,3,BG,52.66999817,,,32,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,36.18652455
33,1,1,1500000US060250124001,6,25,12400,1,1,BG,44.46099854,,,33,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.46260748
33,2,2,1500000US060250124001,6,25,12400,1,1,BG,44.46099854,,,33,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,40.80743536
34,2,1,1500000US060259400001,6,25,940000,1,1,BG,26.9470005,,,34,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,59.09714206
34,1,2,1500000US060259400001,6,25,940000,1,1,BG,26.9470005,,,34,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,59.28184908
35,2,1,1500000US060259400002,6,25,940000,2,2,BG,12.3579998,,,35,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,54.43205145
35,1,2,1500000US060259400002,6,25,940000,2,2,BG,12.3579998,,,35,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,55.22768692
36,2,1,1500000US060259400003,6,25,940000,3,3,BG,4.71400023,,,36,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,52.50575181
36,1,2,1500000US060259400003,6,25,940000,3,3,BG,4.71400023,,,36,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,53.68794072
37,1,1,1500000US060250101011,6,25,10101,1,1,BG,146.39900208,,,37,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.63288235
37,2,2,1500000US060250101011,6,25,10101,1,1,BG,146.39900208,,,37,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,28.7423536
38,1,1,1500000US060250101021,6,25,10102,1,1,BG,88.68699646,,,38,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.5129218
38,2,2,1500000US060250101021,6,25,10102,1,1,BG,88.68699646,,,38,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,28.51390335
39,1,1,1500000US060250101023,6,25,10102,3,3,BG,0.41600001,,,39,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.30576417
39,2,2,1500000US060250101023,6,25,10102,3,3,BG,0.41600001,,,39,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.57429227
40,1,1,1500000US060250102001,6,25,10200,1,1,BG,71.91300201,,,40,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.21501207
40,2,2,1500000US060250102001,6,25,10200,1,1,BG,71.91300201,,,40,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,20.76784068
41,1,1,1500000US060250102002,6,25,10200,2,2,BG,0.49599999,,,41,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,6.74978206
41,2,2,1500000US060250102002,6,25,10200,2,2,BG,0.49599999,,,41,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,17.90358286
42,1,1,1500000US060250103001,6,25,10300,1,1,BG,180.54400635,,,42,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,9.97955078
42,2,2,1500000US060250103001,6,25,10300,1,1,BG,180.54400635,,,42,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,18.10156199
43,1,1,1500000US060250104002,6,25,10400,2,2,BG,0.16500001,,,43,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.23865295
43,2,2,1500000US060250104002,6,25,10400,2,2,BG,0.16500001,,,43,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.00090188
44,1,1,1500000US060250104003,6,25,10400,3,3,BG,0.15800001,,,44,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.02429223
44,2,2,1500000US060250104003,6,25,10400,3,3,BG,0.15800001,,,44,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.96786322
45,1,1,1500000US060250104005,6,25,10400,5,5,BG,0.73500001,,,45,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.77171915
45,2,2,1500000US060250104005,6,25,10400,5,5,BG,0.73500001,,,45,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.82915679
46,1,1,1500000US060250105001,6,25,10500,1,1,BG,0.542,,,46,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.29810401
46,2,2,1500000US060250105001,6,25,10500,1,1,BG,0.542,,,46,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.50031989
47,1,1,1500000US060250105003,6,25,10500,3,3,BG,0.382,,,47,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.1275191
47,2,2,1500000US060250105003,6,25,10500,3,3,BG,0.382,,,47,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.41444178
48,1,1,1500000US060250105004,6,25,10500,4,4,BG,0.31999999,,,48,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.52061032
48,2,2,1500000US060250105004,6,25,10500,4,4,BG,0.31999999,,,48,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.81628207
49,1,1,1500000US060250106001,6,25,10600,1,1,BG,0.236,,,49,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.36188394
49,2,2,1500000US060250106001,6,25,10600,1,1,BG,0.236,,,49,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.43048104
50,1,1,1500000US060250106002,6,25,10600,2,2,BG,0.31999999,,,50,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.33249474
50,2,2,1500000US060250106002,6,25,10600,2,2,BG,0.31999999,,,50,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.1553874
51,1,1,1500000US060250106004,6,25,10600,4,4,BG,2.37899995,,,51,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,0.14917158
51,2,2,1500000US060250106004,6,25,10600,4,4,BG,2.37899995,,,51,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,12.35624223
52,1,1,1500000US060250107001,6,25,10700,1,1,BG,0.234,,,52,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.86262385
52,2,2,1500000US060250107001,6,25,10700,1,1,BG,0.234,,,52,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.50122145
53,1,1,1500000US060250107003,6,25,10700,3,3,BG,1.76400006,,,53,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.85516995
53,2,2,1500000US060250107003,6,25,10700,3,3,BG,1.76400006,,,53,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,12.80216683
54,1,1,1500000US060250108001,6,25,10800,1,1,BG,89.06300354,,,54,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.46967522
54,2,2,1500000US060250108001,6,25,10800,1,1,BG,89.06300354,,,54,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.47875533
55,2,1,1500000US060250108002,6,25,10800,2,2,BG,22.90299988,,,55,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,10.29822523
55,1,2,1500000US060250108002,6,25,10800,2,2,BG,22.90299988,,,55,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.32260405
56,2,1,1500000US060250109001,6,25,10900,1,1,BG,5.23600006,,,56,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,10.67996403
56,1,2,1500000US060250109001,6,25,10900,1,1,BG,5.23600006,,,56,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.34970849
57,2,1,1500000US060250109003,6,25,10900,3,3,BG,0.164,,,57,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.55810126
57,1,2,1500000US060250109003,6,25,10900,3,3,BG,0.164,,,57,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,14.40798924
58,2,1,1500000US060250109005,6,25,10900,5,5,BG,0.29100001,,,58,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,10.76390598
58,1,2,1500000US060250109005,6,25,10900,5,5,BG,0.29100001,,,58,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,14.10376721
59,2,1,1500000US060250109006,6,25,10900,6,6,BG,0.145,,,59,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,11.36821361
59,1,2,1500000US060250109006,6,25,10900,6,6,BG,0.145,,,59,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,14.57140258
60,2,1,1500000US060250110001,6,25,11000,1,1,BG,0.192,,,60,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.81492361
60,1,2,1500000US060250110001,6,25,11000,1,1,BG,0.192,,,60,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,7.57110609
61,2,1,1500000US060250110003,6,25,11000,3,3,BG,0.64399999,,,61,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,3.90740178
61,1,2,1500000US060250110003,6,25,11000,3,3,BG,0.64399999,,,61,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,8.397881
62,2,1,1500000US060250110004,6,25,11000,4,4,BG,0.78100002,,,62,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,3.81798701
62,1,2,1500000US060250110004,6,25,11000,4,4,BG,0.78100002,,,62,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,8.56007568
63,2,1,1500000US060250110005,6,25,11000,5,5,BG,2.55299997,,,63,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.43169204
63,1,2,1500000US060250110005,6,25,11000,5,5,BG,2.55299997,,,63,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,8.23523294
64,1,1,1500000US060250110006,6,25,11000,6,6,BG,65.0759964,,,64,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,6.88766889
64,2,2,1500000US060250110006,6,25,11000,6,6,BG,65.0759964,,,64,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.10515094
65,2,1,1500000US060250111001,6,25,11100,1,1,BG,54.06200027,,,65,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.17662594
65,1,2,1500000US060250111001,6,25,11100,1,1,BG,54.06200027,,,65,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.59661959
66,2,1,1500000US060250111002,6,25,11100,2,2,BG,23.32799911,,,66,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.75493229
66,1,2,1500000US060250111002,6,25,11100,2,2,BG,23.32799911,,,66,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.82319098
67,2,1,1500000US060250112011,6,25,11201,1,1,BG,2.64899993,,,67,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.22429263
67,1,2,1500000US060250112011,6,25,11201,1,1,BG,2.64899993,,,67,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.39258373
68,2,1,1500000US060250112012,6,25,11201,2,2,BG,2.92199993,,,68,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.47070464
68,1,2,1500000US060250112012,6,25,11201,2,2,BG,2.92199993,,,68,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,9.98016201
69,2,1,1500000US060250112023,6,25,11202,3,3,BG,0.132,,,69,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.4341591
69,1,2,1500000US060250112023,6,25,11202,3,3,BG,0.132,,,69,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.93717736
70,2,1,1500000US060250113002,6,25,11300,2,2,BG,6.53200006,,,70,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.88725802
70,1,2,1500000US060250113002,6,25,11300,2,2,BG,6.53200006,,,70,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.94986181
