GEO_ID,,Long,Lat,BLKGRP,CENSUSAREA,ORIG_FID,LSAD
1500000US060250108001,,-115.3644176,32.8747457,1,89.06300354,54,BG
1500000US060250108002,,-115.3923264,32.765828,2,22.90299988,55,BG
1500000US060250109001,,-115.3913481,32.82279638,1,5.23600006,56,BG
1500000US060250109003,,-115.3738321,32.8159266,3,0.164,57,BG
1500000US060250109005,,-115.3866876,32.81131949,5,0.29100001,58,BG
1500000US060250109006,,-115.3759583,32.81066547,6,0.145,59,BG
1500000US060250110001,,-115.5752923,32.85128768,1,0.192,60,BG
1500000US060250110003,,-115.5670356,32.83829862,3,0.64399999,61,BG
1500000US060250110004,,-115.5752604,32.83673218,4,0.78100002,62,BG
1500000US060250110005,,-115.5884804,32.84372416,5,2.55299997,63,BG
1500000US060250110006,,-115.5039426,32.8692026,6,65.0759964,64,BG
1500000US060250111001,,-115.6843951,32.74503839,1,54.06200027,65,BG
1500000US060250111002,,-115.6451649,32.80607552,2,23.32799911,66,BG
1500000US060250112011,,-115.5844025,32.81096991,1,2.64899993,67,BG
1500000US060250112012,,-115.5527288,32.81481256,2,2.92199993,68,BG
1500000US060250112023,,-115.5742863,32.80179238,3,0.132,69,BG
1500000US060250113002,,-115.5197565,32.77387615,2,6.53200006,70,BG
1500000US060250113004,,-115.5215311,32.73063115,4,0.79000002,71,BG
1500000US060250114001,,-115.5455108,32.79820769,1,0.73799998,72,BG
1500000US060250114003,,-115.5409329,32.7882981,3,0.61699998,73,BG
1500000US060250115001,,-115.5608164,32.79468315,1,0.273,74,BG
1500000US060250115003,,-115.5573848,32.79811976,3,0.111,75,BG
1500000US060250115004,,-115.5615306,32.80186818,4,0.29300001,76,BG
1500000US060250116002,,-115.5569481,32.78985574,2,0.213,77,BG
1500000US060250116003,,-115.565734,32.78972999,3,0.21799999,78,BG
1500000US060250116004,,-115.5568878,32.78416402,4,0.19,79,BG
1500000US060250117002,,-115.5653888,32.77770667,2,0.255,80,BG
1500000US060250117003,,-115.5577783,32.77757817,3,0.20999999,81,BG
1500000US060250118012,,-115.5908391,32.78339861,2,1.03799999,82,BG
1500000US060250118021,,-115.5763604,32.78925744,1,0.12800001,83,BG
1500000US060250118022,,-115.5739763,32.77562421,2,0.119,84,BG
1500000US060250118024,,-115.5740018,32.77939843,4,0.147,85,BG
1500000US060250118031,,-115.5669541,32.76291201,1,4.8119998,86,BG
1500000US060250119001,,-115.5921668,32.6920132,1,43.16199875,87,BG
1500000US060250119002,,-115.3755471,32.69727927,2,31.23399925,88,BG
1500000US060250119003,,-115.4591108,32.71284264,3,12.4289999,89,BG
1500000US060250120021,,-115.4754658,32.67525738,1,1.36800003,90,BG
1500000US060250120022,,-115.4835026,32.68288729,2,0.52600002,91,BG
1500000US060250121001,,-115.497784,32.67776574,1,0.146,92,BG
1500000US060250121003,,-115.4955884,32.6686749,3,0.25999999,93,BG
1500000US060250113001,,-115.4715916,32.78523934,1,42.16699982,94,BG
1500000US060250112021,,-115.5743351,32.79638784,1,0.24699999,95,BG
1500000US060250112022,,-115.5742699,32.80736249,2,0.25999999,96,BG
