Long,Lat,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,Shape__Area,Shape__Length,ORIG_FID
-115.46913479123366,33.19099462712109,1500000US060250101011,6,25,10101,1,1,BG,146.39900208,,,37
-115.61745605000282,33.19412478926479,1500000US060250101021,6,25,10102,1,1,BG,88.68699646,,,38
-115.52096429978496,33.121970322771304,1500000US060250101023,6,25,10102,3,3,BG,0.41600001,,,39
-115.67168540603905,33.07074852110581,1500000US060250102001,6,25,10200,1,1,BG,71.91300201,,,40
-115.62587222216929,33.03735121537644,1500000US060250102002,6,25,10200,2,2,BG,0.49599999,,,41
-115.38734610503755,32.995749144386906,1500000US060250103001,6,25,10300,1,1,BG,180.54400635,,,42
-115.52563597674197,32.981849218696354,1500000US060250104002,6,25,10400,2,2,BG,0.16500001,,,43
-115.53130525168656,32.98217045457739,1500000US060250104003,6,25,10400,3,3,BG,0.15800001,,,44
-115.52990281444141,32.99466302538051,1500000US060250104005,6,25,10400,5,5,BG,0.73500001,,,45
-115.53927905567788,32.990911452137226,1500000US060250105001,6,25,10500,1,1,BG,0.542,,,46
-115.54739866073139,32.99035510831003,1500000US060250105003,6,25,10500,3,3,BG,0.382,,,47
-115.5504210056739,32.98183453058541,1500000US060250105004,6,25,10500,4,4,BG,0.31999999,,,48
-115.53927228597391,32.97523432401958,1500000US060250106001,6,25,10600,1,1,BG,0.236,,,49
-115.53509562565425,32.97070645034543,1500000US060250106002,6,25,10600,2,2,BG,0.31999999,,,50
-115.55653573630327,32.96089919264522,1500000US060250106004,6,25,10600,4,4,BG,2.37899995,,,51
-115.52727522965893,32.97471426099648,1500000US060250107001,6,25,10700,1,1,BG,0.234,,,52
-115.52250263057306,32.963558710273645,1500000US060250107003,6,25,10700,3,3,BG,1.76400006,,,53
-115.3644175928623,32.87474570210838,1500000US060250108001,6,25,10800,1,1,BG,89.06300354,,,54
-115.39232643054973,32.765827996053495,1500000US060250108002,6,25,10800,2,2,BG,22.90299988,,,55
-115.39134809603505,32.822796378554315,1500000US060250109001,6,25,10900,1,1,BG,5.23600006,,,56
-115.37383210682144,32.815926600052826,1500000US060250109003,6,25,10900,3,3,BG,0.164,,,57
-115.38668756088255,32.81131948736484,1500000US060250109005,6,25,10900,5,5,BG,0.29100001,,,58
-115.37595828614829,32.810665473508315,1500000US060250109006,6,25,10900,6,6,BG,0.145,,,59
-115.57529234114507,32.851287683018995,1500000US060250110001,6,25,11000,1,1,BG,0.192,,,60
-115.56703563700952,32.8382986160184,1500000US060250110003,6,25,11000,3,3,BG,0.64399999,,,61
-115.5752604338845,32.83673218458308,1500000US060250110004,6,25,11000,4,4,BG,0.78100002,,,62
-115.5884803829654,32.84372415554917,1500000US060250110005,6,25,11000,5,5,BG,2.55299997,,,63
-115.50394261933624,32.86920260025296,1500000US060250110006,6,25,11000,6,6,BG,65.0759964,,,64
-115.68439514527624,32.74503839184863,1500000US060250111001,6,25,11100,1,1,BG,54.06200027,,,65
-115.64516485353775,32.80607551669877,1500000US060250111002,6,25,11100,2,2,BG,23.32799911,,,66
-115.58440246815674,32.810969910674345,1500000US060250112011,6,25,11201,1,1,BG,2.64899993,,,67
-115.55272875248596,32.814812564182404,1500000US060250112012,6,25,11201,2,2,BG,2.92199993,,,68
-115.57428629809544,32.801792378364595,1500000US060250112023,6,25,11202,3,3,BG,0.132,,,69
-115.51975654902148,32.77387615045604,1500000US060250113002,6,25,11300,2,2,BG,6.53200006,,,70
-115.52153111337307,32.7306311490184,1500000US060250113004,6,25,11300,4,4,BG,0.79000002,,,71
-115.54551075414378,32.798207688216834,1500000US060250114001,6,25,11400,1,1,BG,0.73799998,,,72
-115.54093290621823,32.78829809826722,1500000US060250114003,6,25,11400,3,3,BG,0.61699998,,,73
-115.56081637032885,32.79468315140592,1500000US060250115001,6,25,11500,1,1,BG,0.273,,,74
-115.55738478977383,32.79811975798985,1500000US060250115003,6,25,11500,3,3,BG,0.111,,,75
-115.56153062620115,32.801868177652985,1500000US060250115004,6,25,11500,4,4,BG,0.29300001,,,76
-115.5569480585271,32.78985573781131,1500000US060250116002,6,25,11600,2,2,BG,0.213,,,77
-115.56573396109485,32.78972999119483,1500000US060250116003,6,25,11600,3,3,BG,0.21799999,,,78
-115.55688784984352,32.78416402177035,1500000US060250116004,6,25,11600,4,4,BG,0.19,,,79
-115.56538883734582,32.77770666630734,1500000US060250117002,6,25,11700,2,2,BG,0.255,,,80
-115.5577782527666,32.77757816763286,1500000US060250117003,6,25,11700,3,3,BG,0.20999999,,,81
-115.5908391298311,32.78339860970356,1500000US060250118012,6,25,11801,2,2,BG,1.03799999,,,82
-115.57636042005157,32.78925743993454,1500000US060250118021,6,25,11802,1,1,BG,0.12800001,,,83
-115.57397625894818,32.77562421461874,1500000US060250118022,6,25,11802,2,2,BG,0.119,,,84
-115.57400180523824,32.779398433035915,1500000US060250118024,6,25,11802,4,4,BG,0.147,,,85
-115.5669541041177,32.762912011502735,1500000US060250118031,6,25,11803,1,1,BG,4.8119998,,,86
-115.59216678412548,32.692013198568695,1500000US060250119001,6,25,11900,1,1,BG,43.16199875,,,87
-115.37554706795392,32.6972792657712,1500000US060250119002,6,25,11900,2,2,BG,31.23399925,,,88
-115.45911078023569,32.71284264061908,1500000US060250119003,6,25,11900,3,3,BG,12.4289999,,,89
-115.47546577330137,32.67525738395941,1500000US060250120021,6,25,12002,1,1,BG,1.36800003,,,90
-115.48350257165201,32.682887289874664,1500000US060250120022,6,25,12002,2,2,BG,0.52600002,,,91
-115.4977840203783,32.67776573994731,1500000US060250121001,6,25,12100,1,1,BG,0.146,,,92
-115.4955884138564,32.6686749031423,1500000US060250121003,6,25,12100,3,3,BG,0.25999999,,,93
-115.47159160897556,32.78523934028421,1500000US060250113001,6,25,11300,1,1,BG,42.16699982,,,94
-115.57433508739516,32.796387835640985,1500000US060250112021,6,25,11202,1,1,BG,0.24699999,,,95
-115.5742698679089,32.807362485155124,1500000US060250112022,6,25,11202,2,2,BG,0.25999999,,,96
