NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Minutes,To_ID,From_ID,RouteLayerItemID,RouteLayerItemURL,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:49:36,2020-07-29 10:31:53,2020-07-29 10:49:36,14.70156913,17.70911887,2,15,,,1500000US060250109002,6,25,10900,2,2,BG,0.215,,,15,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:57:17,2020-07-29 10:31:53,2020-07-29 10:57:17,22.68608075,25.39210396,1,15,,,1500000US060250109002,6,25,10900,2,2,BG,0.215,,,15,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,4 - Location 2,2020-07-29 03:31:53,2020-07-29 03:46:48,2020-07-29 10:31:53,2020-07-29 10:46:48,13.56782365,14.92208346,2,16,,,1500000US060250109004,6,25,10900,4,4,BG,0.2,,,16,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,4 - Location 1,2020-07-29 03:31:53,2020-07-29 03:56:05,2020-07-29 10:31:53,2020-07-29 10:56:05,21.8527429,24.20634902,1,16,,,1500000US060250109004,6,25,10900,4,4,BG,0.2,,,16,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:40:09,2020-07-29 10:31:53,2020-07-29 10:40:09.000001,4.9551274,8.27254789,2,17,,,1500000US060250110002,6,25,11000,2,2,BG,0.28099999,,,17,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:41:16,2020-07-29 10:31:53,2020-07-29 10:41:16,8.4860192,9.38018926,1,17,,,1500000US060250110002,6,25,11000,2,2,BG,0.28099999,,,17,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,3 - Location 2,2020-07-29 03:31:53,2020-07-29 03:41:56,2020-07-29 10:31:53,2020-07-29 10:41:56,9.31211466,10.05751896,2,18,,,1500000US060250111003,6,25,11100,3,3,BG,0.46700001,,,18,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,3 - Location 1,2020-07-29 03:31:53,2020-07-29 03:53:42,2020-07-29 10:31:53,2020-07-29 10:53:42,18.33957663,21.82178435,1,18,,,1500000US060250111003,6,25,11100,3,3,BG,0.46700001,,,18,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,3 - Location 2,2020-07-29 03:31:53,2020-07-29 03:40:17,2020-07-29 10:31:53,2020-07-29 10:40:17.000001,5.63996053,8.39603893,2,19,,,1500000US060250113003,6,25,11300,3,3,BG,0.20999999,,,19,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,3 - Location 1,2020-07-29 03:31:53,2020-07-29 03:56:12,2020-07-29 10:31:53,2020-07-29 10:56:12,18.61113783,24.31387621,1,19,,,1500000US060250113003,6,25,11300,3,3,BG,0.20999999,,,19,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
